Training Details:
Episode 103: Reward -59.46, Steps 1440, Epsilon 0.72
Episode 104: Reward -56.15, Steps 1440, Epsilon 0.72
Episode 105: Reward -60.48, Steps 1440, Epsilon 0.72
Episode 106: Reward -58.10, Steps 1440, Epsilon 0.72
Episode 107: Reward -59.77, Steps 1440, Epsilon 0.72
Episode 108: Reward -59.14, Steps 1440, Epsilon 0.71
Episode 109: Reward -58.74, Steps 1440, Epsilon 0.71
Episode 110: Reward -59.81, Steps 1440, Epsilon 0.71
Episode 111: Reward -55.97, Steps 1440, Epsilon 0.71
Episode 112: Reward -57.17, Steps 1440, Epsilon 0.70
Episode 113: Reward -55.76, Steps 1440, Epsilon 0.70
Episode 114: Reward -59.14, Steps 1440, Epsilon 0.70
Episode 115: Reward -57.89, Steps 1440, Epsilon 0.70
Episode 116: Reward -59.77, Steps 1440, Epsilon 0.70
Episode 117: Reward -59.10, Steps 1440, Epsilon 0.69
Episode 118: Reward -55.22, Steps 1440, Epsilon 0.69
Episode 119: Reward -56.55, Steps 1440, Epsilon 0.69
Episode 120: Reward -56.52, Steps 1440, Epsilon 0.69
Episode 121: Reward -55.90, Steps 1440, Epsilon 0.68
Episode 122: Reward -55.36, Steps 1440, Epsilon 0.68
Episode 123: Reward -60.14, Steps 1440, Epsilon 0.68
Episode 124: Reward -56.48, Steps 1440, Epsilon 0.68
Episode 125: Reward -53.74, Steps 1440, Epsilon 0.68
Episode 126: Reward -55.41, Steps 1440, Epsilon 0.67
Episode 127: Reward -57.73, Steps 1440, Epsilon 0.67
Episode 128: Reward -57.65, Steps 1440, Epsilon 0.67
Episode 129: Reward -55.72, Steps 1440, Epsilon 0.67
Episode 130: Reward -57.04, Steps 1440, Epsilon 0.67
Episode 131: Reward -56.98, Steps 1440, Epsilon 0.66
Episode 132: Reward -57.28, Steps 1440, Epsilon 0.66
Episode 133: Reward -52.49, Steps 1440, Epsilon 0.66
Episode 134: Reward -53.26, Steps 1440, Epsilon 0.66
Episode 135: Reward -55.41, Steps 1440, Epsilon 0.66
Episode 136: Reward -56.85, Steps 1440, Epsilon 0.65
Episode 137: Reward -56.16, Steps 1440, Epsilon 0.65
Episode 138: Reward -52.99, Steps 1440, Epsilon 0.65
Episode 139: Reward -57.85, Steps 1440, Epsilon 0.65
Episode 140: Reward -54.52, Steps 1440, Epsilon 0.65
Episode 141: Reward -53.84, Steps 1440, Epsilon 0.64
Episode 142: Reward -56.14, Steps 1440, Epsilon 0.64
Episode 143: Reward -53.84, Steps 1440, Epsilon 0.64
Episode 144: Reward -57.47, Steps 1440, Epsilon 0.64
Episode 145: Reward -55.95, Steps 1440, Epsilon 0.64
Episode 146: Reward -55.66, Steps 1440, Epsilon 0.63
Episode 147: Reward -54.46, Steps 1440, Epsilon 0.63
Episode 148: Reward -55.72, Steps 1440, Epsilon 0.63
Episode 149: Reward -49.93, Steps 1440, Epsilon 0.63
Episode 150: Reward -56.73, Steps 1440, Epsilon 0.63
Episode 151: Reward -55.81, Steps 1440, Epsilon 0.62
Episode 152: Reward -54.18, Steps 1440, Epsilon 0.62
Episode 153: Reward -56.74, Steps 1440, Epsilon 0.62
Episode 154: Reward -55.84, Steps 1440, Epsilon 0.62
Episode 155: Reward -50.77, Steps 1440, Epsilon 0.62
Episode 156: Reward -55.49, Steps 1440, Epsilon 0.61
Episode 157: Reward -57.73, Steps 1440, Epsilon 0.61
Episode 158: Reward -52.14, Steps 1440, Epsilon 0.61
Episode 159: Reward -54.77, Steps 1440, Epsilon 0.61
Episode 160: Reward -53.80, Steps 1440, Epsilon 0.61
Episode 161: Reward -49.90, Steps 1440, Epsilon 0.61
Episode 162: Reward -53.34, Steps 1440, Epsilon 0.60
Episode 163: Reward -51.35, Steps 1440, Epsilon 0.60
Episode 164: Reward -53.83, Steps 1440, Epsilon 0.60
Episode 165: Reward -52.03, Steps 1440, Epsilon 0.60
Episode 166: Reward -52.40, Steps 1440, Epsilon 0.60
Episode 167: Reward -53.44, Steps 1440, Epsilon 0.59
