Training Details:
Episode 103: Reward -57.61, Steps 1440, Epsilon 0.72
Episode 104: Reward -60.47, Steps 1440, Epsilon 0.72
Episode 105: Reward -56.84, Steps 1440, Epsilon 0.72
Episode 106: Reward -57.51, Steps 1440, Epsilon 0.72
Episode 107: Reward -57.59, Steps 1440, Epsilon 0.72
Episode 108: Reward -56.94, Steps 1440, Epsilon 0.71
Episode 109: Reward -61.25, Steps 1440, Epsilon 0.71
Episode 110: Reward -60.52, Steps 1440, Epsilon 0.71
Episode 111: Reward -56.18, Steps 1440, Epsilon 0.71
Episode 112: Reward -56.25, Steps 1440, Epsilon 0.70
Episode 113: Reward -59.54, Steps 1440, Epsilon 0.70
Episode 114: Reward -56.62, Steps 1440, Epsilon 0.70
Episode 115: Reward -57.11, Steps 1440, Epsilon 0.70
Episode 116: Reward -56.48, Steps 1440, Epsilon 0.70
Episode 117: Reward -54.48, Steps 1440, Epsilon 0.69
Episode 118: Reward -56.45, Steps 1440, Epsilon 0.69
Episode 119: Reward -54.15, Steps 1440, Epsilon 0.69
Episode 120: Reward -57.12, Steps 1440, Epsilon 0.69
Episode 121: Reward -59.27, Steps 1440, Epsilon 0.68
Episode 122: Reward -56.86, Steps 1440, Epsilon 0.68
Episode 123: Reward -59.90, Steps 1440, Epsilon 0.68
Episode 124: Reward -55.21, Steps 1440, Epsilon 0.68
Episode 125: Reward -55.45, Steps 1440, Epsilon 0.68
Episode 126: Reward -56.00, Steps 1440, Epsilon 0.67
Episode 127: Reward -57.19, Steps 1440, Epsilon 0.67
Episode 128: Reward -53.96, Steps 1440, Epsilon 0.67
Episode 129: Reward -53.72, Steps 1440, Epsilon 0.67
Episode 130: Reward -53.37, Steps 1440, Epsilon 0.67
Episode 131: Reward -54.90, Steps 1440, Epsilon 0.66
Episode 132: Reward -54.83, Steps 1440, Epsilon 0.66
Episode 133: Reward -55.10, Steps 1440, Epsilon 0.66
Episode 134: Reward -55.21, Steps 1440, Epsilon 0.66
Episode 135: Reward -58.31, Steps 1440, Epsilon 0.66
Episode 136: Reward -54.04, Steps 1440, Epsilon 0.65
Episode 137: Reward -54.73, Steps 1440, Epsilon 0.65
Episode 138: Reward -53.99, Steps 1440, Epsilon 0.65
Episode 139: Reward -55.64, Steps 1440, Epsilon 0.65
Episode 140: Reward -55.10, Steps 1440, Epsilon 0.65
Episode 141: Reward -55.43, Steps 1440, Epsilon 0.64
Episode 142: Reward -53.53, Steps 1440, Epsilon 0.64
Episode 143: Reward -52.40, Steps 1440, Epsilon 0.64
Episode 144: Reward -53.04, Steps 1440, Epsilon 0.64
Episode 145: Reward -53.31, Steps 1440, Epsilon 0.64
Episode 146: Reward -51.01, Steps 1440, Epsilon 0.63
Episode 147: Reward -56.96, Steps 1440, Epsilon 0.63
