Training Details:
Episode 96: Reward = -18.93, Steps = 288, Epsilon = 0.74
Episode 97: Reward = -19.89, Steps = 288, Epsilon = 0.74
Episode 98: Reward = -18.12, Steps = 288, Epsilon = 0.74
Episode 99: Reward = -19.44, Steps = 288, Epsilon = 0.73
Episode 100: Reward = -17.83, Steps = 288, Epsilon = 0.73
Episode 101: Reward = -17.67, Steps = 288, Epsilon = 0.73
Episode 102: Reward = -20.88, Steps = 288, Epsilon = 0.73
Episode 103: Reward = -18.91, Steps = 288, Epsilon = 0.72
Episode 104: Reward = -19.09, Steps = 288, Epsilon = 0.72
Episode 105: Reward = -16.68, Steps = 288, Epsilon = 0.72
Episode 106: Reward = -18.21, Steps = 288, Epsilon = 0.72
Episode 107: Reward = -18.14, Steps = 288, Epsilon = 0.72
Episode 108: Reward = -17.75, Steps = 288, Epsilon = 0.71
Episode 109: Reward = -20.32, Steps = 288, Epsilon = 0.71
Episode 110: Reward = -22.37, Steps = 288, Epsilon = 0.71
Episode 111: Reward = -19.09, Steps = 288, Epsilon = 0.71
Episode 112: Reward = -17.02, Steps = 288, Epsilon = 0.70
Episode 113: Reward = -19.36, Steps = 288, Epsilon = 0.70
Episode 114: Reward = -17.47, Steps = 288, Epsilon = 0.70
Episode 115: Reward = -18.09, Steps = 288, Epsilon = 0.70
Episode 116: Reward = -19.03, Steps = 288, Epsilon = 0.70
Episode 117: Reward = -17.88, Steps = 288, Epsilon = 0.69
Episode 118: Reward = -19.01, Steps = 288, Epsilon = 0.69
Episode 119: Reward = -17.78, Steps = 288, Epsilon = 0.69
Episode 120: Reward = -18.36, Steps = 288, Epsilon = 0.69
Episode 121: Reward = -19.79, Steps = 288, Epsilon = 0.68
Episode 122: Reward = -17.47, Steps = 288, Epsilon = 0.68
Episode 123: Reward = -18.71, Steps = 288, Epsilon = 0.68
Episode 124: Reward = -18.02, Steps = 288, Epsilon = 0.68
Episode 125: Reward = -19.38, Steps = 288, Epsilon = 0.68
Episode 126: Reward = -17.01, Steps = 288, Epsilon = 0.67
Episode 127: Reward = -17.68, Steps = 288, Epsilon = 0.67
Episode 128: Reward = -16.94, Steps = 288, Epsilon = 0.67
Episode 129: Reward = -17.38, Steps = 288, Epsilon = 0.67
Episode 130: Reward = -20.47, Steps = 288, Epsilon = 0.67
Episode 131: Reward = -17.82, Steps = 288, Epsilon = 0.66
Episode 132: Reward = -17.71, Steps = 288, Epsilon = 0.66
Episode 133: Reward = -19.24, Steps = 288, Epsilon = 0.66
Episode 134: Reward = -17.73, Steps = 288, Epsilon = 0.66
Episode 135: Reward = -19.54, Steps = 288, Epsilon = 0.66
Episode 136: Reward = -17.56, Steps = 288, Epsilon = 0.65
Episode 137: Reward = -15.04, Steps = 288, Epsilon = 0.65
Episode 138: Reward = -16.38, Steps = 288, Epsilon = 0.65
Episode 139: Reward = -17.03, Steps = 288, Epsilon = 0.65
Episode 140: Reward = -16.09, Steps = 288, Epsilon = 0.65
Episode 141: Reward = -19.48, Steps = 288, Epsilon = 0.64
Episode 142: Reward = -17.45, Steps = 288, Epsilon = 0.64
Episode 143: Reward = -18.37, Steps = 288, Epsilon = 0.64
Episode 144: Reward = -18.04, Steps = 288, Epsilon = 0.64
Episode 145: Reward = -16.25, Steps = 288, Epsilon = 0.64
Episode 146: Reward = -15.57, Steps = 288, Epsilon = 0.63
Episode 147: Reward = -19.11, Steps = 288, Epsilon = 0.63
Episode 148: Reward = -18.16, Steps = 288, Epsilon = 0.63
Episode 149: Reward = -17.98, Steps = 288, Epsilon = 0.63
Episode 150: Reward = -18.67, Steps = 288, Epsilon = 0.63
Episode 151: Reward = -18.64, Steps = 288, Epsilon = 0.62
Episode 152: Reward = -17.43, Steps = 288, Epsilon = 0.62
Episode 153: Reward = -18.38, Steps = 288, Epsilon = 0.62
Episode 154: Reward = -14.96, Steps = 288, Epsilon = 0.62
Episode 155: Reward = -18.57, Steps = 288, Epsilon = 0.62
Episode 156: Reward = -15.60, Steps = 288, Epsilon = 0.61
Episode 157: Reward = -16.21, Steps = 288, Epsilon = 0.61
Episode 158: Reward = -17.14, Steps = 288, Epsilon = 0.61
Episode 159: Reward = -18.34, Steps = 288, Epsilon = 0.61
Episode 160: Reward = -17.51, Steps = 288, Epsilon = 0.61
Episode 161: Reward = -16.61, Steps = 288, Epsilon = 0.61
Episode 162: Reward = -17.30, Steps = 288, Epsilon = 0.60
Episode 163: Reward = -19.37, Steps = 288, Epsilon = 0.60
Episode 164: Reward = -17.53, Steps = 288, Epsilon = 0.60
Episode 165: Reward = -17.54, Steps = 288, Epsilon = 0.60
Episode 166: Reward = -17.56, Steps = 288, Epsilon = 0.60
Episode 167: Reward = -17.31, Steps = 288, Epsilon = 0.59
Episode 168: Reward = -14.81, Steps = 288, Epsilon = 0.59
