Training Details:
Episode 103: Reward -356.57, Steps 8640, Epsilon 0.72
Episode 104: Reward -350.88, Steps 8640, Epsilon 0.72
Episode 105: Reward -354.15, Steps 8640, Epsilon 0.72
Episode 106: Reward -353.00, Steps 8640, Epsilon 0.72
Episode 107: Reward -359.55, Steps 8640, Epsilon 0.72
Episode 108: Reward -352.76, Steps 8640, Epsilon 0.71
Episode 109: Reward -349.29, Steps 8640, Epsilon 0.71
Episode 110: Reward -358.68, Steps 8640, Epsilon 0.71
Episode 111: Reward -344.61, Steps 8640, Epsilon 0.71
Episode 112: Reward -347.72, Steps 8640, Epsilon 0.70
Episode 113: Reward -351.73, Steps 8640, Epsilon 0.70
Episode 114: Reward -350.62, Steps 8640, Epsilon 0.70
Episode 115: Reward -347.84, Steps 8640, Epsilon 0.70
Episode 116: Reward -343.09, Steps 8640, Epsilon 0.70
Episode 117: Reward -337.83, Steps 8640, Epsilon 0.69
Episode 118: Reward -339.51, Steps 8640, Epsilon 0.69
Episode 119: Reward -347.24, Steps 8640, Epsilon 0.69
Episode 120: Reward -340.00, Steps 8640, Epsilon 0.69
Episode 121: Reward -345.34, Steps 8640, Epsilon 0.68
Episode 122: Reward -347.27, Steps 8640, Epsilon 0.68
Episode 123: Reward -348.76, Steps 8640, Epsilon 0.68
Episode 124: Reward -339.51, Steps 8640, Epsilon 0.68
Episode 125: Reward -341.78, Steps 8640, Epsilon 0.68
Episode 126: Reward -350.05, Steps 8640, Epsilon 0.67
Episode 127: Reward -342.43, Steps 8640, Epsilon 0.67
Episode 128: Reward -341.40, Steps 8640, Epsilon 0.67
Episode 129: Reward -345.09, Steps 8640, Epsilon 0.67
Episode 130: Reward -339.24, Steps 8640, Epsilon 0.67
Episode 131: Reward -341.41, Steps 8640, Epsilon 0.66
Episode 132: Reward -342.68, Steps 8640, Epsilon 0.66
Episode 133: Reward -341.21, Steps 8640, Epsilon 0.66
Episode 134: Reward -341.02, Steps 8640, Epsilon 0.66
Episode 135: Reward -337.06, Steps 8640, Epsilon 0.66
Episode 136: Reward -340.02, Steps 8640, Epsilon 0.65
Episode 137: Reward -333.46, Steps 8640, Epsilon 0.65
Episode 138: Reward -338.14, Steps 8640, Epsilon 0.65
Episode 139: Reward -333.70, Steps 8640, Epsilon 0.65
Episode 140: Reward -335.89, Steps 8640, Epsilon 0.65
Episode 141: Reward -338.37, Steps 8640, Epsilon 0.64
Episode 142: Reward -334.80, Steps 8640, Epsilon 0.64
Episode 143: Reward -330.38, Steps 8640, Epsilon 0.64
Episode 144: Reward -327.95, Steps 8640, Epsilon 0.64
Episode 145: Reward -335.76, Steps 8640, Epsilon 0.64
Episode 146: Reward -331.30, Steps 8640, Epsilon 0.63
Episode 147: Reward -331.53, Steps 8640, Epsilon 0.63
Episode 148: Reward -329.37, Steps 8640, Epsilon 0.63
Episode 149: Reward -328.03, Steps 8640, Epsilon 0.63
Episode 150: Reward -335.35, Steps 8640, Epsilon 0.63
Episode 151: Reward -331.89, Steps 8640, Epsilon 0.62
Episode 152: Reward -331.23, Steps 8640, Epsilon 0.62
Episode 153: Reward -326.84, Steps 8640, Epsilon 0.62
Episode 154: Reward -333.26, Steps 8640, Epsilon 0.62
Episode 155: Reward -330.50, Steps 8640, Epsilon 0.62
Episode 156: Reward -324.46, Steps 8640, Epsilon 0.61
Episode 157: Reward -327.73, Steps 8640, Epsilon 0.61
Episode 158: Reward -325.56, Steps 8640, Epsilon 0.61
Episode 159: Reward -326.15, Steps 8640, Epsilon 0.61
Episode 160: Reward -328.66, Steps 8640, Epsilon 0.61
Episode 161: Reward -328.29, Steps 8640, Epsilon 0.61
Episode 162: Reward -330.10, Steps 8640, Epsilon 0.60
Episode 163: Reward -322.29, Steps 8640, Epsilon 0.60
Episode 164: Reward -321.87, Steps 8640, Epsilon 0.60
Episode 165: Reward -314.43, Steps 8640, Epsilon 0.60
Episode 166: Reward -321.37, Steps 8640, Epsilon 0.60
Episode 167: Reward -323.88, Steps 8640, Epsilon 0.59
Episode 168: Reward -322.63, Steps 8640, Epsilon 0.59
Episode 169: Reward -321.54, Steps 8640, Epsilon 0.59
Episode 170: Reward -317.42, Steps 8640, Epsilon 0.59
Episode 171: Reward -323.12, Steps 8640, Epsilon 0.59
Episode 172: Reward -318.54, Steps 8640, Epsilon 0.59
Episode 173: Reward -312.69, Steps 8640, Epsilon 0.58
Episode 174: Reward -321.11, Steps 8640, Epsilon 0.58
Episode 175: Reward -316.17, Steps 8640, Epsilon 0.58
Episode 176: Reward -322.70, Steps 8640, Epsilon 0.58
Episode 177: Reward -316.42, Steps 8640, Epsilon 0.58
Episode 178: Reward -321.64, Steps 8640, Epsilon 0.57
Episode 179: Reward -321.93, Steps 8640, Epsilon 0.57
Episode 180: Reward -306.80, Steps 8640, Epsilon 0.57
Episode 181: Reward -309.10, Steps 8640, Epsilon 0.57
Episode 182: Reward -313.91, Steps 8640, Epsilon 0.57
Episode 183: Reward -316.33, Steps 8640, Epsilon 0.57
Episode 184: Reward -318.06, Steps 8640, Epsilon 0.56
Episode 185: Reward -320.55, Steps 8640, Epsilon 0.56
Episode 186: Reward -312.69, Steps 8640, Epsilon 0.56
Episode 187: Reward -312.50, Steps 8640, Epsilon 0.56
Episode 188: Reward -316.20, Steps 8640, Epsilon 0.56
Episode 189: Reward -313.23, Steps 8640, Epsilon 0.56
Episode 190: Reward -305.69, Steps 8640, Epsilon 0.55
Episode 191: Reward -310.04, Steps 8640, Epsilon 0.55
Episode 192: Reward -314.81, Steps 8640, Epsilon 0.55
Episode 193: Reward -305.00, Steps 8640, Epsilon 0.55
Episode 194: Reward -309.10, Steps 8640, Epsilon 0.55
Episode 195: Reward -307.05, Steps 8640, Epsilon 0.55
Episode 196: Reward -312.35, Steps 8640, Epsilon 0.54
Episode 197: Reward -315.64, Steps 8640, Epsilon 0.54
Episode 198: Reward -310.40, Steps 8640, Epsilon 0.54
Episode 199: Reward -307.53, Steps 8640, Epsilon 0.54
Episode 200: Reward -304.18, Steps 8640, Epsilon 0.54
Episode 201: Reward -303.79, Steps 8640, Epsilon 0.54
Episode 202: Reward -304.86, Steps 8640, Epsilon 0.53
Episode 203: Reward -307.27, Steps 8640, Epsilon 0.53
Episode 204: Reward -306.18, Steps 8640, Epsilon 0.53
Episode 205: Reward -308.20, Steps 8640, Epsilon 0.53
Episode 206: Reward -312.30, Steps 8640, Epsilon 0.53
Episode 207: Reward -292.45, Steps 8640, Epsilon 0.53
Episode 208: Reward -308.77, Steps 8640, Epsilon 0.52
Episode 209: Reward -296.04, Steps 8640, Epsilon 0.52
Episode 210: Reward -303.74, Steps 8640, Epsilon 0.52
Episode 211: Reward -293.56, Steps 8640, Epsilon 0.52
Episode 212: Reward -306.73, Steps 8640, Epsilon 0.52
Episode 213: Reward -299.88, Steps 8640, Epsilon 0.52
Episode 214: Reward -306.13, Steps 8640, Epsilon 0.52
Episode 215: Reward -294.94, Steps 8640, Epsilon 0.51
Episode 216: Reward -297.22, Steps 8640, Epsilon 0.51
Episode 217: Reward -297.91, Steps 8640, Epsilon 0.51
Episode 218: Reward -299.06, Steps 8640, Epsilon 0.51
Episode 219: Reward -298.36, Steps 8640, Epsilon 0.51
Episode 220: Reward -297.31, Steps 8640, Epsilon 0.51
Episode 221: Reward -298.83, Steps 8640, Epsilon 0.50
Episode 222: Reward -303.03, Steps 8640, Epsilon 0.50
Episode 223: Reward -298.66, Steps 8640, Epsilon 0.50
Episode 224: Reward -299.25, Steps 8640, Epsilon 0.50
Episode 225: Reward -296.13, Steps 8640, Epsilon 0.50
Episode 226: Reward -293.82, Steps 8640, Epsilon 0.50
Episode 227: Reward -291.32, Steps 8640, Epsilon 0.50
Episode 228: Reward -290.29, Steps 8640, Epsilon 0.49
Episode 229: Reward -294.69, Steps 8640, Epsilon 0.49
Episode 230: Reward -298.36, Steps 8640, Epsilon 0.49
Episode 231: Reward -294.80, Steps 8640, Epsilon 0.49
Episode 232: Reward -299.61, Steps 8640, Epsilon 0.49
Episode 233: Reward -293.79, Steps 8640, Epsilon 0.49
Episode 234: Reward -285.49, Steps 8640, Epsilon 0.49
Episode 235: Reward -292.79, Steps 8640, Epsilon 0.48
Episode 236: Reward -293.32, Steps 8640, Epsilon 0.48
Episode 237: Reward -294.70, Steps 8640, Epsilon 0.48
Episode 238: Reward -292.53, Steps 8640, Epsilon 0.48
Episode 239: Reward -286.83, Steps 8640, Epsilon 0.48
