Training Details:
Episode 0: Reward -71.16, Steps 1440, Epsilon 1.00
Episode 1: Reward -75.59, Steps 1440, Epsilon 1.00
Episode 2: Reward -70.31, Steps 1440, Epsilon 0.99
Episode 3: Reward -74.27, Steps 1440, Epsilon 0.99
Episode 4: Reward -72.53, Steps 1440, Epsilon 0.99
Episode 5: Reward -74.54, Steps 1440, Epsilon 0.98
Episode 6: Reward -76.01, Steps 1440, Epsilon 0.98
Episode 7: Reward -75.46, Steps 1440, Epsilon 0.98
Episode 8: Reward -70.72, Steps 1440, Epsilon 0.98
Episode 9: Reward -72.15, Steps 1440, Epsilon 0.97
Episode 10: Reward -74.15, Steps 1440, Epsilon 0.97
Episode 11: Reward -72.17, Steps 1440, Epsilon 0.97
Episode 12: Reward -71.22, Steps 1440, Epsilon 0.96
Episode 13: Reward -72.39, Steps 1440, Epsilon 0.96
Episode 14: Reward -70.91, Steps 1440, Epsilon 0.96
Episode 15: Reward -71.45, Steps 1440, Epsilon 0.95
Episode 16: Reward -71.61, Steps 1440, Epsilon 0.95
Episode 17: Reward -69.94, Steps 1440, Epsilon 0.95
Episode 18: Reward -71.92, Steps 1440, Epsilon 0.94
Episode 19: Reward -74.78, Steps 1440, Epsilon 0.94
Episode 20: Reward -73.33, Steps 1440, Epsilon 0.94
Episode 21: Reward -72.76, Steps 1440, Epsilon 0.94
Episode 22: Reward -71.68, Steps 1440, Epsilon 0.93
Episode 23: Reward -69.02, Steps 1440, Epsilon 0.93
Episode 24: Reward -72.03, Steps 1440, Epsilon 0.93
Episode 25: Reward -68.62, Steps 1440, Epsilon 0.92
Episode 26: Reward -69.79, Steps 1440, Epsilon 0.92
Episode 27: Reward -69.30, Steps 1440, Epsilon 0.92
Episode 28: Reward -68.65, Steps 1440, Epsilon 0.92
Episode 29: Reward -72.91, Steps 1440, Epsilon 0.91
Episode 30: Reward -69.80, Steps 1440, Epsilon 0.91
Episode 31: Reward -69.28, Steps 1440, Epsilon 0.91
Episode 32: Reward -66.17, Steps 1440, Epsilon 0.90
Episode 33: Reward -68.30, Steps 1440, Epsilon 0.90
Episode 34: Reward -67.13, Steps 1440, Epsilon 0.90
Episode 35: Reward -69.43, Steps 1440, Epsilon 0.90
Episode 36: Reward -68.84, Steps 1440, Epsilon 0.89
Episode 37: Reward -66.88, Steps 1440, Epsilon 0.89
Episode 38: Reward -67.08, Steps 1440, Epsilon 0.89
Episode 39: Reward -68.06, Steps 1440, Epsilon 0.88
Episode 40: Reward -69.19, Steps 1440, Epsilon 0.88
Episode 41: Reward -67.42, Steps 1440, Epsilon 0.88
Episode 42: Reward -72.06, Steps 1440, Epsilon 0.88
Episode 43: Reward -67.83, Steps 1440, Epsilon 0.87
Episode 44: Reward -67.35, Steps 1440, Epsilon 0.87
Episode 45: Reward -64.41, Steps 1440, Epsilon 0.87
Episode 46: Reward -69.03, Steps 1440, Epsilon 0.86
Episode 47: Reward -67.37, Steps 1440, Epsilon 0.86
Episode 48: Reward -66.64, Steps 1440, Epsilon 0.86
Episode 49: Reward -66.77, Steps 1440, Epsilon 0.86
Episode 50: Reward -64.86, Steps 1440, Epsilon 0.85
Episode 51: Reward -66.36, Steps 1440, Epsilon 0.85
Episode 52: Reward -66.33, Steps 1440, Epsilon 0.85
Episode 53: Reward -68.07, Steps 1440, Epsilon 0.85
Episode 54: Reward -64.24, Steps 1440, Epsilon 0.84
Episode 55: Reward -64.75, Steps 1440, Epsilon 0.84
Episode 56: Reward -64.04, Steps 1440, Epsilon 0.84
Episode 57: Reward -66.80, Steps 1440, Epsilon 0.84
Episode 58: Reward -64.12, Steps 1440, Epsilon 0.83
Episode 59: Reward -65.65, Steps 1440, Epsilon 0.83
Episode 60: Reward -65.08, Steps 1440, Epsilon 0.83
Episode 61: Reward -63.83, Steps 1440, Epsilon 0.83
Episode 62: Reward -64.18, Steps 1440, Epsilon 0.82
Episode 63: Reward -65.57, Steps 1440, Epsilon 0.82
Episode 64: Reward -63.43, Steps 1440, Epsilon 0.82
Episode 65: Reward -60.86, Steps 1440, Epsilon 0.81
Episode 66: Reward -67.33, Steps 1440, Epsilon 0.81
Episode 67: Reward -64.95, Steps 1440, Epsilon 0.81
Episode 68: Reward -62.41, Steps 1440, Epsilon 0.81
